,0,1,2,3,4,5,6
33,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.8133605230293661,0.8734375,0.7928501810080757
34,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.812222714907936,0.8640625,0.7940772069061542
35,,"KernelPCA(kernel='poly', n_components=5, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.7916794197263712,0.8640625,0.7942512531328323
36,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7373680665688235,0.859375,0.7452224310776943
37,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.8103309756173724,0.878125,0.7848875661375663
38,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.821987430977677,0.878125,0.8048593706488444
39,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.8046580866711979,0.86875,0.7846700083542189
40,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 10, 'n_estimators': 50}",0.8037109970861855,0.8703125,0.7776037315511
41,,"KernelPCA(kernel='poly', n_components=10, n_jobs=8, random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.7759073592141715,0.859375,0.7645328599275968
42,,"LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.6389250602440056,0.8296875,0.6862207602339181
43,,"LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.7321828490005396,0.859375,0.7466931216931217
44,,"LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.7457740711925688,0.8578125,0.7491645781119465
45,,"LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",BaggingClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 50}",0.7392867953510962,0.8515625,0.7382605820105821
46,,"LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",GradientBoostingClassifier(random_state=42),"{'max_depth': 5, 'n_estimators': 50}",0.7133900356713611,0.8515625,0.7074195906432749
47,,"LocallyLinearEmbedding(n_components=10, n_jobs=8, n_neighbors=40,
                       random_state=42)",KNeighborsClassifier(),{'n_neighbors': 5},0.6743117265474698,0.84375,0.728975215817321
48,,"LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",DecisionTreeClassifier(random_state=42),"{'criterion': 'entropy', 'max_depth': 15}",0.6321955413788453,0.8328125,0.6864383180172655
49,,"LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",AdaBoostClassifier(random_state=42),"{'estimator': RandomForestClassifier(random_state=42), 'n_estimators': 10}",0.6811533744505176,0.840625,0.731994917850181
50,,"LocallyLinearEmbedding(n_components=5, n_jobs=8, n_neighbors=40,
                       random_state=42)",RandomForestClassifier(random_state=42),"{'criterion': 'gini', 'max_depth': 10}",0.6953752528853008,0.84375,0.7141116680590365
